t px py theta vx vy omega ax ay alpha 
0.0158 0.2549063092 0.01883626069 -1.12787241 1.321847516 2.981322145 -70.17568605 103.3115033 -331.621479 5622.391051
0.0159 0.2550390097 0.01913275499 -1.134862313 1.332152124 2.948763092 -69.62678011 102.8410428 -319.5782859 5355.832792
0.016 0.2551727387 0.01942605325 -1.141798653 1.342425438 2.917397826 -69.10438374 102.6842537 -307.7448663 5092.167921
0.0161 0.2553074948 0.01971627381 -1.148684067 1.352698393 2.887205652 -68.60821707 102.8325948 -296.1155983 4831.208891
0.0162 0.2554432794 0.02000353296 -1.155521165 1.363001099 2.858166423 -68.13801852 103.2781062 -284.6851826 4572.776749
0.0163 0.2555800971 0.02028794503 -1.162312532 1.373363098 2.830260913 -67.69355379 104.0134336 -273.4486646 4316.700667
0.0164 0.255717955 0.0205696224 -1.169060729 1.383812625 2.803469155 -67.27457598 105.0315966 -262.4012809 4062.816536
0.0165 0.2558568635 0.02084867554 -1.175768294 1.394378044 2.777773269 -66.88089331 106.3263273 -251.5386934 3810.967762
0.0166 0.2559968355 0.02112521308 -1.182437747 1.405086306 2.753154177 -66.51229034 107.8916388 -240.8566992 3561.003189
0.0167 0.2561378865 0.02139934186 -1.189071587 1.415964608 2.729594818 -66.16860542 109.7222134 -230.3514976 3312.778007
0.0168 0.256280035 0.02167116694 -1.195672297 1.427039017 2.707077295 -65.84966192 111.8130317 -220.0194402 3066.15205
0.0169 0.2564233018 0.02194079166 -1.202242343 1.43833554 2.685584861 -65.55531644 114.1596087 -209.8571927 2820.990131
0.017 0.2565677104 0.02220831764 -1.208784178 1.449879116 2.6650999 -65.28540973 116.7577315 -199.8615599 2577.160882
0.0171 0.2567132868 0.02247384482 -1.215300239 1.461694926 2.645606292 -65.03982463 119.6037443 -190.0296786 2334.537124
0.0172 0.2568600594 0.02273747156 -1.221792954 1.473807812 2.627088191 -64.81845652 122.6943878 -180.3589099 2092.994984
0.0173 0.2570080592 0.02299929456 -1.228264737 1.486241867 2.609529217 -64.6211936 126.0266932 -170.8467685 1852.413319
0.0174 0.2571573194 0.02325940895 -1.234717996 1.499020901 2.592913231 -64.44793608 129.5980723 -161.4909836 1612.67356
0.0175 0.2573078757 0.0235179083 -1.241155126 1.512169166 2.577225477 -64.29862498 133.395054 -152.309022 1374.144332
0.0176 0.2574597616 0.02377487659 -1.247578319 1.525536944 2.562160677 -64.16592483 133.2660746 -150.1830789 1309.673875
0.0177 0.2576129815 0.02403034527 -1.253988471 1.538859169 2.547247199 -64.03816307 133.1792122 -148.1078946 1246.00038
0.0178 0.2577675333 0.02428433293 -1.260386165 1.552176197 2.532540215 -63.91677305 133.1526135 -146.0684917 1182.621928
0.0179 0.2579234167 0.02453686003 -1.266772036 1.565493561 2.518035395 -63.80170729 133.2094491 -144.0261923 1118.541984
0.018 0.2580806322 0.02478794668 -1.273146717 1.578817692 2.503729984 -63.69295982 133.2900762 -142.0763306 1056.154325
0.0181 0.2582391807 0.02503761259 -1.279510838 1.592154506 2.489620492 -63.59050809 133.4536259 -140.1230792 993.0102582
0.0182 0.2583990637 0.02528587716 -1.285865027 1.605509396 2.475702709 -63.49431288 133.663647 -138.2231494 930.5350677
0.0183 0.2585602834 0.02553275946 -1.29220991 1.618888693 2.461973969 -63.40437645 133.9319349 -136.3572688 868.2175318
0.0184 0.2587228425 0.02577827817 -1.298546111 1.632298216 2.448430878 -63.32068438 134.2582356 -134.5251557 806.0306876
0.0185 0.2588867442 0.02602245168 -1.304874254 1.645743261 2.435069321 -63.24320558 134.6548458 -132.707846 743.4635333
0.0186 0.2590519925 0.02626529803 -1.311194961 1.659230104 2.421886705 -63.17195038 135.0966232 -130.9425234 681.4574701
0.0187 0.2592185918 0.02650683489 -1.317508852 1.672764251 2.408879342 -63.10690273 135.5958879 -129.210219 619.5015913
0.0188 0.2593865472 0.02674707966 -1.323816549 1.686351715 2.396044303 -63.04806866 136.1655799 -127.4923566 557.0845878
0.0189 0.2595558641 0.02698604938 -1.330118672 1.699997987 2.38337794 -62.9954375 136.7798401 -125.8256243 495.1482816
0.019 0.2597265489 0.02722376077 -1.336415843 1.713708815 2.370876994 -62.94901096 137.4515366 -124.1913793 433.181344
0.0191 0.2598986083 0.02746023022 -1.342708682 1.727490218 2.358538582 -62.90880316 138.1807957 -122.5895168 371.1565277
0.0192 0.2600720495 0.02769547379 -1.348997811 1.741347696 2.346359105 -62.87481159 138.9676966 -121.0198915 309.046531
0.0193 0.2602468806 0.02792950723 -1.355283852 1.755287029 2.334335341 -62.84704613 139.8259697 -119.464383 246.3384392
0.0194 0.2604231099 0.02816234597 -1.361567429 1.769314015 2.322464076 -62.82551947 140.7288505 -117.9590477 183.974784
0.0195 0.2606007465 0.02839400508 -1.367849166 1.783434751 2.31074246 -62.81025682 141.6900975 -116.4857618 121.4421777
0.0196 0.2607798001 0.02862449935 -1.37412969 1.79765482 2.299166928 -62.80126678 142.7239047 -115.0266665 58.22602841
0.0197 0.260960281 0.02885384327 -1.38040963 1.811980393 2.287734632 -62.79858028 143.8029877 -113.6174557 -4.730765521
0.0198 0.2611421999 0.02908205094 -1.386689617 1.826416838 2.276441662 -62.80220199 144.9414763 -112.2402081 -67.94318558
0.0199 0.2613255683 0.02930913621 -1.392970284 1.84097098 2.26528587 -62.81218821 146.1400009 -110.8950506 -131.4415581
0.02 0.2615103982 0.02953511255 -1.399252267 1.855647995 2.254262988 -62.82853981 147.4277589 -109.546961 -196.2310791
0.0201 0.2616967102 0.02976000264 -1.405536472 1.870740448 2.2437122 -62.86089656 155.622235 -100.1090208 -489.9352539
0.0202 0.2618845765 0.02998388897 -1.411825507 1.886726855 2.234167693 -62.92468788 164.1492656 -90.81724892 -785.9207633
0.0203 0.2620740846 0.030206867 -1.418122402 1.903580519 2.225543239 -63.01813819 172.9738007 -81.70107094 -1083.336757
0.0204 0.2622653226 0.03042902783 -1.424430131 1.921331075 2.21782091 -63.14138874 182.0996832 -72.76111725 -1382.344228
0.0205 0.2624583818 0.03065046081 -1.430751683 1.940008869 2.210983043 -63.29460694 191.5314029 -63.99833934 -1683.110103
0.0206 0.2626533565 0.03087125352 -1.437090063 1.959645333 2.205012547 -63.47799682 201.2438836 -55.44812472 -1984.827217
0.0207 0.262850344 0.03109149173 -1.443448298 1.980270931 2.199890484 -63.6917311 211.3030511 -47.04362249 -2289.636616
0.0208 0.2630494449 0.03131125949 -1.449829434 2.001918561 2.195599788 -63.93605986 221.68545 -38.82101696 -2596.748004
0.0209 0.263250763 0.03153063892 -1.456236541 2.024620269 2.192121493 -64.21120339 232.3981127 -30.7824278 -2906.358919
0.021 0.2634544053 0.0317497104 -1.462672715 2.048409462 2.18943708 -64.51742192 243.4489116 -22.93036541 -3218.677413
